Frequency (Hz)	Level (dB)				
2804.699707	-52.249756				
2806.045532	-52.256138				
2807.391357	-52.240578				
2808.737183	-52.38525				
2810.083008	-53.31572				
2811.428833	-53.343121				
2812.774658	-51.187099				
2814.120483	-53.019936				
2815.466309	-52.53698				
2816.812134	-52.805038				
2818.157959	-53.363541				
2819.503784	-52.513256				
2820.849609	-53.032898				
2822.195435	-54.032612				
2823.54126	-53.562248				
2824.887085	-55.365269				
2826.23291	-53.393837				
2827.578735	-53.713551				
2828.924561	-52.295197				
2830.270386	-53.836979				
2831.616211	-55.025105				
2832.962036	-54.647404				
2834.307861	-52.832001				
2835.653687	-53.69128				
2836.999512	-54.232487				
2838.345337	-54.949127				
2839.691162	-53.825249				
2841.036987	-53.637245				
2842.382812	-53.805504				
2843.728638	-54.96804				
2845.074463	-54.86097				
2846.420288	-55.080921				
2847.766113	-55.21484				
2849.111938	-54.159554				
2850.457764	-54.131947				
2851.803589	-54.54422				
2853.149414	-53.738995				
2854.495239	-55.090603				
2855.841064	-55.916828				
2857.18689	-54.323887				
2858.532715	-55.482155				
2859.87854	-55.070644				
2861.224365	-54.668049				
2862.57019	-56.571884				
2863.916016	-55.083431				
2865.261841	-55.749737				
2866.607666	-55.694202				
2867.953491	-57.068462				
2869.299316	-54.71434				
2870.645142	-55.146656				
2871.990967	-55.47234				
2873.336792	-55.534214				
2874.682617	-56.40696				
2876.028442	-56.494228				
2877.374268	-55.044266				
2878.720093	-54.766285				
2880.065918	-55.84272				
2881.411743	-55.414921				
2882.757568	-55.659626				
2884.103394	-55.612774				
2885.449219	-56.374992				
2886.795044	-56.929981				
2888.140869	-55.850471				
2889.486694	-56.19191				
2890.83252	-56.353199				
2892.178345	-55.584385				
2893.52417	-56.248554				
2894.869995	-56.971577				
2896.21582	-55.774517				
2897.561646	-55.897499				
2898.907471	-56.009308				
2900.253296	-55.850067				
2901.599121	-56.10247				
2902.944946	-56.85553				
2904.290771	-56.371151				
2905.636597	-56.863758				
2906.982422	-56.497269				
2908.328247	-56.879822				
2909.674072	-56.601318				
2911.019897	-56.329269				
2912.365723	-56.683647				
2913.711548	-56.151405				
2915.057373	-56.334015				
2916.403198	-56.325306				
2917.749023	-57.738148				
2919.094849	-56.722668				
2920.440674	-56.057575				
2921.786499	-57.056866				
