Frequency (Hz)	Level (dB)
570.312500	-60.425205
570.800781	-60.999119
571.289062	-61.396278
571.777344	-61.140499
572.265625	-60.558781
572.753906	-61.141617
573.242188	-60.002750
573.730469	-60.128185
574.218750	-62.228600
574.707031	-59.879978
575.195312	-58.629097
575.683594	-59.903576
576.171875	-60.560867
576.660156	-61.672031
577.148438	-61.345192
577.636719	-61.289322
578.125000	-60.073456
578.613281	-59.098183
579.101562	-59.755966
579.589844	-60.921402
580.078125	-58.896652
580.566406	-58.294025
581.054688	-59.147339
581.542969	-61.511662
582.031250	-61.409126
582.519531	-59.082531
583.007812	-61.839661
583.496094	-58.033665
583.984375	-60.033417
584.472656	-59.881222
584.960938	-60.946938
585.449219	-59.595528
585.937500	-60.061069
586.425781	-59.482731
586.914062	-59.834484
587.402344	-57.873283
587.890625	-57.181889
588.378906	-58.535774
588.867188	-59.120430
589.355469	-58.422115
589.843750	-57.642246
590.332031	-60.250828
590.820312	-57.851173
591.308594	-59.393986
591.796875	-58.105064
592.285156	-57.982384
592.773438	-60.595398
593.261719	-56.431961
593.750000	-59.568130
594.238281	-58.454353
594.726562	-59.410690
595.214844	-59.170174
595.703125	-57.665619
596.191406	-58.186260
596.679688	-56.676987
597.167969	-58.991688
597.656250	-58.501236
598.144531	-56.925133
598.632812	-58.405056
599.121094	-59.336460
599.609375	-57.442081
600.097656	-58.637871
600.585938	-60.432396
601.074219	-58.604923
601.562500	-59.674824
602.050781	-59.140209
602.539062	-57.414494
603.027344	-57.695599
603.515625	-57.757530
604.003906	-59.827248
604.492188	-58.849030
604.980469	-59.105537
605.468750	-58.523720
605.957031	-59.598572
606.445312	-58.192776
606.933594	-57.510525
607.421875	-58.871803
607.910156	-59.142082
608.398438	-60.529392
608.886719	-59.642242
609.375000	-61.672947
609.863281	-60.385681
610.351562	-57.666809
610.839844	-60.090519
611.328125	-59.470322
611.816406	-61.776600
612.304688	-59.664459
612.792969	-59.725925
613.281250	-60.783382
613.769531	-57.607662
614.257812	-60.608242
614.746094	-57.967617
615.234375	-59.618046
615.722656	-63.607727
